Datased name: Pilot top-down CO2 Budget constrained by the v10 OCO-2 MIP Version 1.0
Data description paper title: National CO2 Budgets (2015-2020) inferred from atmospheric CO2 observations in support of the Global Stocktake
Byrne et al. 2022
contact: Brendan Byrne - email: brendan.k.byrne@jpl.nasa.gov
Created 25 May 2022
Version 1.0
-- Description ---
This is a pilot CO2 Budget for countries over 2015-2020. Estimates of carbon fluxes are obtained by combining top-down constraints on net carbon exchange from atmospheric CO2 and bottom-up process specific fluxes of carbon (fossil fuel emissions and lateral fluxes associated with crop trade and wood trade and river export) with specific data sources listed below.
-- Data sources ---
Net Carbon Exchange (NCE): version 10 of the Orbiting Carbon Observatory Model Intercomparison Project (OCO-2 MIP) [https://gml.noaa.gov/ccgg/OCO2_v10mip/]
Fossil Fuel and cement production emissions (FF):  Open-source Data Inventory for Anthropogenic CO2 (ODIAC) emission data product [Oda et al. 2018; https://doi.org/10.5194/essd-10-87-2018] with day-of-week and diurnal variations from Nassar et al. [2013; https://doi.org/10.1029/2012JD018196]
Crop and Wood lateral fluxes (F wood trade + F crop trade): Following the approaches of Deng et al. [2022; https://doi.org/10.5194/essd-14-1639-2022] and Ciais et al. [2020; https://doi.org/10.1093/nsr/nwaa145] which utilizes crop and wood trade data compiled by Food and Agriculture Organization of the United Nations [FAO; http://www.fao.org/faostat/en/#data]
River lateral fluxes (F rivers export): Combine modeled estiated from Dynamic Land Ecosystem Model (DLEM) [https://chess.auburn.edu/models/] and Deng et al. [2022; https://doi.org/10.5194/essd-14-1639-2022]
-- Variables ---
Alpha 3 Code - three-letter country codes defined in International Organization for Standardization (ISO) 3166-1 -OR- Name of supranational Region
Year - Gregorian calendar year / mean indicates 2015-2020 mean value
IS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP IS ensemble; Positive flux = decrease in land carbon
IS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP IS ensemble
LNLG dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLG ensemble; Positive flux = decrease in land carbon
LNLG dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGIS ensemble; Positive flux = decrease in land carbon
LNLGIS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGOGIS ensemble; Positive flux = decrease in land carbon
LNLGOGIS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
IS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP IS ensemble
IS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP IS ensemble
LNLG NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLG NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGIS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
LNLGOGIS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
IS NCE - net carbon exchange estimated from the OCO-2 v10 MIP IS ensemble
IS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP IS ensemble
LNLG NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLG NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGIS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
LNLGOGIS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
River - F rivers export -  Lateral flux of carbon by rivers
River unc - F rivers export unc -  Uncertainty in lateral flux of carbon by rivers
Wood+Crop - F wood trade + F crop trade -  Lateral flux of carbon in wood and crops
Wood+Crop unc - F wood trade unc + F crop trade unc - Uncertainty in lateral flux of carbon in wood and crops
FF - Fossil Fuel and cement production emissions; Positive flux from land to atmosphere
FF unc - Uncertainty in Fossil Fuel and cement production emissions
Z-statistic - statistical difference between LNLG and IS NCE defined as (median(NCE_LNLG)-median(NCE_IS))/std(NCE_LNLG-NCE_IS)
Fractional Uncertainty Reduction (FUR) for the IS experiment defined as 1 - Posterior_NCE_std_IS/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLG experiment defined as 1 - Posterior_NCE_std_LNLG/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLGIS experiment defined as 1 - Posterior_NCE_std_LNLGIS/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLGOGIS experiment defined as 1 - Posterior_NCE_std_LNLGOGIS/Prior_NCE_std
----------------
Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
AFG,2015,1.19713e+00,4.18719e+01,5.46349e+01,1.79753e+02,3.93407e+01,1.53746e+02,-9.76738e-01,1.12483e+02,2.82076e+00,4.18719e+01,5.62585e+01,1.79753e+02,4.09643e+01,1.53746e+02,6.46889e-01,1.12483e+02,2.22101e+01,4.18643e+01,7.56478e+01,1.79751e+02,6.03537e+01,1.53744e+02,2.00363e+01,1.12480e+02,-2.43286e+00,1.69832e+00,4.05648e+00,1.21694e+00,1.93894e+01,7.97698e-01,0.37,0.01,0.2,0.19,0.03
AFG,2016,-1.26690e+00,3.23623e+01,6.75523e+01,2.34094e+02,5.06167e+01,1.75454e+02,1.76834e+01,1.17572e+02,6.27724e-01,3.23623e+01,6.94470e+01,2.34094e+02,5.25114e+01,1.75454e+02,1.95780e+01,1.17572e+02,2.11497e+01,3.23552e+01,8.99689e+01,2.34093e+02,7.30333e+01,1.75452e+02,4.01000e+01,1.17570e+02,-2.16185e+00,2.24033e+00,4.05648e+00,1.21694e+00,2.05220e+01,6.78080e-01,0.31,0.01,0.2,0.19,0.03
AFG,2017,-7.33159e-02,4.34440e+01,7.71190e+01,2.33244e+02,5.45096e+01,1.79794e+02,1.03165e+01,1.27746e+02,1.88968e+00,4.34440e+01,7.90820e+01,2.33244e+02,5.64726e+01,1.79794e+02,1.22794e+01,1.27746e+02,2.29525e+01,4.34384e+01,1.00145e+02,2.33243e+02,7.75355e+01,1.79793e+02,3.33423e+01,1.27744e+02,-2.09349e+00,2.37705e+00,4.05648e+00,1.21694e+00,2.10629e+01,6.95856e-01,0.47,0.01,0.2,0.19,0.03
AFG,2018,-9.30967e-02,4.05731e+01,1.31620e+02,3.20432e+02,1.16426e+02,2.43057e+02,4.42289e+01,1.83101e+02,1.94139e+00,4.05731e+01,1.33654e+02,3.20432e+02,1.18461e+02,2.43057e+02,4.62634e+01,1.83101e+02,2.74388e+01,4.05672e+01,1.59152e+02,3.20431e+02,1.43958e+02,2.43056e+02,7.17609e+01,1.83099e+02,-2.02199e+00,2.52005e+00,4.05648e+00,1.21694e+00,2.54974e+01,6.95856e-01,0.39,0.01,0.2,0.19,0.03
AFG,2019,-8.34670e+00,4.09813e+01,9.13044e+01,2.41299e+02,6.40162e+01,1.81516e+02,1.30618e+01,1.21000e+02,-6.32405e+00,4.09813e+01,9.33270e+01,2.41299e+02,6.60388e+01,1.81516e+02,1.50844e+01,1.21000e+02,2.15345e+01,4.09735e+01,1.21186e+02,2.41298e+02,9.38974e+01,1.81514e+02,4.29430e+01,1.20997e+02,-2.03383e+00,2.49637e+00,4.05648e+00,1.21694e+00,2.78585e+01,7.97698e-01,0.49,0.01,0.2,0.19,0.03
AFG,2020,3.15523e+00,3.43206e+01,1.03613e+02,2.01699e+02,8.60661e+01,1.96980e+02,1.46547e+01,1.08783e+02,5.06291e+00,3.43206e+01,1.05521e+02,2.01699e+02,8.79738e+01,1.96980e+02,1.65624e+01,1.08783e+02,3.07760e+01,3.43113e+01,1.31234e+02,2.01698e+02,1.13687e+02,1.96978e+02,4.22754e+01,1.08780e+02,-2.14881e+00,2.26643e+00,4.05648e+00,1.21694e+00,2.57131e+01,7.97698e-01,0.5,0.01,0.2,0.19,0.03
AFG,mean,-2.99316e-01,3.46037e+01,9.05437e+01,2.40881e+02,6.84959e+01,1.97973e+02,1.29166e+01,1.35248e+02,1.60836e+00,3.45079e+01,9.24513e+01,2.40867e+02,7.04036e+01,1.97956e+02,1.48243e+01,1.35223e+02,2.49489e+01,3.44999e+01,1.15792e+02,2.40866e+02,9.37441e+01,1.97955e+02,3.81648e+01,1.35221e+02,-2.14881e+00,2.26643e+00,4.05648e+00,1.21694e+00,2.33405e+01,7.43815e-01,0.4,0.01,0.2,0.19,0.03
AGO,2015,1.92577e+02,3.08678e+02,-9.84819e+01,2.72388e+02,-8.00936e+01,2.37900e+02,4.98006e+01,2.26390e+02,1.77402e+02,3.08678e+02,-1.13657e+02,2.72388e+02,-9.52686e+01,2.37900e+02,3.46255e+01,2.26390e+02,1.92063e+02,3.08659e+02,-9.89957e+01,2.72367e+02,-8.06073e+01,2.37875e+02,4.92869e+01,2.26364e+02,-2.05043e+01,1.17202e+01,5.32926e+00,1.59878e+00,1.46613e+01,3.43854e+00,-1.03,0.18,0.69,0.72,0.71
AGO,2016,3.28722e+02,1.38506e+02,-2.30727e+02,3.04473e+02,-2.41412e+02,2.99022e+02,-1.45696e+02,1.59431e+02,3.12818e+02,1.38506e+02,-2.46630e+02,3.04473e+02,-2.57315e+02,2.99022e+02,-1.61599e+02,1.59431e+02,3.27901e+02,1.38463e+02,-2.31548e+02,3.04453e+02,-2.42233e+02,2.99003e+02,-1.46517e+02,1.59394e+02,-2.12327e+01,1.02634e+01,5.32926e+00,1.59878e+00,1.50825e+01,3.44928e+00,-1.14,0.18,0.69,0.72,0.71
AGO,2017,4.73923e+00,2.49545e+02,-5.11968e+02,3.95618e+02,-4.58853e+02,4.34707e+02,-2.23450e+02,3.85472e+02,-1.19314e+01,2.49545e+02,-5.28638e+02,3.95618e+02,-4.75523e+02,4.34707e+02,-2.40120e+02,3.85472e+02,3.73483e+00,2.49516e+02,-5.12972e+02,3.95600e+02,-4.59857e+02,4.34690e+02,-2.24454e+02,3.85454e+02,-2.19999e+01,8.72909e+00,5.32926e+00,1.59878e+00,1.56662e+01,3.78888e+00,-2.88,0.18,0.69,0.72,0.71
AGO,2018,8.39213e+01,1.69413e+02,-2.95996e+02,1.29999e+02,-2.13561e+02,1.59827e+02,-9.96736e+01,2.81082e+02,6.72801e+01,1.69413e+02,-3.12638e+02,1.29999e+02,-2.30202e+02,1.59827e+02,-1.16315e+02,2.81082e+02,8.34183e+01,1.69371e+02,-2.96499e+02,1.29944e+02,-2.14064e+02,1.59782e+02,-1.00177e+02,2.81057e+02,-2.19705e+01,8.78776e+00,5.32926e+00,1.59878e+00,1.61382e+01,3.78888e+00,-1.84,0.18,0.69,0.72,0.71
